11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@883,0%@883,0%@883,0%@883,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.781C soc0@61.5C gpu@62.281C tj@63.687C soc1@62.312C VDD_IN 4233mW/4233mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1317mW/1317mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@960,0%@960,0%@960,0%@960,off,off] GR3D_FREQ 0% cpu@63.531C soc2@62.75C soc0@61.593C gpu@62.375C tj@63.531C soc1@62.281C VDD_IN 4233mW/4233mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1317mW/1317mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.718C soc2@62.812C soc0@61.5C gpu@62.375C tj@63.718C soc1@62.406C VDD_IN 4233mW/4233mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1317mW/1317mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.656C soc2@62.75C soc0@61.562C gpu@62.343C tj@63.656C soc1@62.312C VDD_IN 4233mW/4233mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1317mW/1317mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@960,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.781C soc0@61.5C gpu@62.312C tj@63.687C soc1@62.343C VDD_IN 4233mW/4233mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1317mW/1317mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.843C soc0@61.593C gpu@62.25C tj@63.687C soc1@62.468C VDD_IN 4233mW/4233mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1317mW/1317mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.843C soc0@61.531C gpu@62.562C tj@63.687C soc1@62.281C VDD_IN 4233mW/4233mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1317mW/1317mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.593C soc2@62.843C soc0@61.531C gpu@62.562C tj@63.593C soc1@62.406C VDD_IN 4233mW/4233mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1317mW/1317mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@960,0%@960,0%@960,0%@960,off,off] GR3D_FREQ 0% cpu@63.718C soc2@62.812C soc0@61.593C gpu@62.375C tj@63.718C soc1@62.281C VDD_IN 4273mW/4237mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1317mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@960,0%@960,0%@960,0%@960,off,off] GR3D_FREQ 0% cpu@63.937C soc2@62.875C soc0@61.593C gpu@62.343C tj@63.937C soc1@62.375C VDD_IN 4273mW/4241mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1317mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.812C soc0@61.625C gpu@62.187C tj@63.687C soc1@62.312C VDD_IN 4273mW/4244mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,100%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.875C soc2@62.843C soc0@61.593C gpu@62.25C tj@63.875C soc1@62.406C VDD_IN 4273mW/4246mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.593C soc2@62.781C soc0@61.625C gpu@62.437C tj@63.593C soc1@62.312C VDD_IN 4273mW/4248mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.875C soc2@62.781C soc0@61.531C gpu@62.343C tj@63.875C soc1@62.312C VDD_IN 4273mW/4250mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.875C soc0@61.625C gpu@62.375C tj@63.687C soc1@62.312C VDD_IN 4273mW/4252mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,100%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.75C soc2@62.843C soc0@61.562C gpu@62.343C tj@63.75C soc1@62.312C VDD_IN 4273mW/4253mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.656C soc2@62.812C soc0@61.625C gpu@62.25C tj@63.656C soc1@62.312C VDD_IN 4273mW/4254mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.75C soc2@62.843C soc0@61.562C gpu@62.562C tj@63.75C soc1@62.312C VDD_IN 4273mW/4255mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.625C soc2@62.937C soc0@61.593C gpu@62.562C tj@63.625C soc1@62.531C VDD_IN 4273mW/4256mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,50%@729,50%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.718C soc2@62.812C soc0@61.593C gpu@62.312C tj@63.718C soc1@62.312C VDD_IN 4273mW/4257mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.593C soc2@62.843C soc0@61.562C gpu@62.281C tj@63.593C soc1@62.468C VDD_IN 4266mW/4257mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@960,0%@960,0%@960,0%@960,off,off] GR3D_FREQ 0% cpu@63.718C soc2@62.843C soc0@61.562C gpu@62.312C tj@63.718C soc1@62.312C VDD_IN 4266mW/4258mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@960,0%@960,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.593C soc2@62.843C soc0@61.562C gpu@62.218C tj@63.593C soc1@62.406C VDD_IN 4266mW/4258mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.781C soc2@62.687C soc0@61.656C gpu@62.375C tj@63.781C soc1@62.281C VDD_IN 4266mW/4258mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.625C soc2@62.75C soc0@61.593C gpu@62.375C tj@63.625C soc1@62.375C VDD_IN 4266mW/4259mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,50%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.75C soc0@61.625C gpu@62.406C tj@63.687C soc1@62.281C VDD_IN 4266mW/4259mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.843C soc0@61.562C gpu@62.218C tj@63.593C soc1@62.312C VDD_IN 4266mW/4259mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.593C soc2@62.843C soc0@61.593C gpu@62.281C tj@63.718C soc1@62.312C VDD_IN 4266mW/4260mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@960,100%@960,0%@960,0%@960,off,off] GR3D_FREQ 0% cpu@63.718C soc2@62.843C soc0@61.562C gpu@62.281C tj@63.656C soc1@62.343C VDD_IN 4266mW/4260mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.625C soc2@62.843C soc0@61.75C gpu@62.562C tj@63.625C soc1@62.312C VDD_IN 4266mW/4260mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.625C soc2@62.781C soc0@61.593C gpu@62.312C tj@63.812C soc1@62.312C VDD_IN 4266mW/4260mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.812C soc2@62.875C soc0@61.562C gpu@62.343C tj@63.812C soc1@62.281C VDD_IN 4266mW/4260mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1316mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@960,0%@960,0%@960,0%@960,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.781C soc0@61.5C gpu@62.218C tj@63.687C soc1@62.312C VDD_IN 4266mW/4261mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [50%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.781C soc2@62.812C soc0@61.531C gpu@62.468C tj@63.781C soc1@62.468C VDD_IN 4266mW/4261mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.781C soc2@62.718C soc0@61.562C gpu@62.437C tj@63.781C soc1@62.312C VDD_IN 4266mW/4261mW VDD_CPU_GPU_CV 478mW/478mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,100%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.843C soc2@62.812C soc0@61.593C gpu@62.375C tj@63.843C soc1@62.437C VDD_IN 4266mW/4261mW VDD_CPU_GPU_CV 518mW/479mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.812C soc0@61.531C gpu@62.218C tj@63.687C soc1@62.281C VDD_IN 4266mW/4261mW VDD_CPU_GPU_CV 518mW/480mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.812C soc2@62.812C soc0@61.562C gpu@62.25C tj@63.812C soc1@62.437C VDD_IN 4266mW/4261mW VDD_CPU_GPU_CV 518mW/481mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.625C soc2@62.75C soc0@61.687C gpu@62.187C tj@63.625C soc1@62.312C VDD_IN 4266mW/4261mW VDD_CPU_GPU_CV 518mW/482mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.75C soc2@62.875C soc0@61.593C gpu@62.187C tj@63.75C soc1@62.406C VDD_IN 4266mW/4261mW VDD_CPU_GPU_CV 518mW/483mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.656C soc2@62.75C soc0@61.593C gpu@62.375C tj@63.656C soc1@62.281C VDD_IN 4306mW/4263mW VDD_CPU_GPU_CV 518mW/484mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,50%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.75C soc2@62.843C soc0@61.562C gpu@62.312C tj@63.75C soc1@62.406C VDD_IN 4306mW/4264mW VDD_CPU_GPU_CV 518mW/485mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@960,0%@960,0%@960,0%@960,off,off] GR3D_FREQ 0% cpu@63.718C soc2@62.812C soc0@61.562C gpu@62.375C tj@63.718C soc1@62.312C VDD_IN 4306mW/4265mW VDD_CPU_GPU_CV 518mW/485mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,50%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.843C soc0@61.593C gpu@62.312C tj@63.687C soc1@62.312C VDD_IN 4306mW/4266mW VDD_CPU_GPU_CV 518mW/486mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,50%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.625C soc2@62.75C soc0@61.718C gpu@62.468C tj@63.625C soc1@62.312C VDD_IN 4306mW/4266mW VDD_CPU_GPU_CV 518mW/487mW VDD_SOC 1315mW/1315mW
