Selecting ALL deduped manifest records (no region filter/cap)...
Downloading 770552 images with 40 workers into /mnt/sdc1/astroloc/reference_db/astroloc_train/gape_queries...
  [1000/770552] {'fetched': 920, 'skip_exists': 80, 'failed': 0} rate=18.1/s eta=707.8min
  [2000/770552] {'fetched': 1841, 'skip_exists': 159, 'failed': 0} rate=21.6/s eta=592.7min
  [3000/770552] {'fetched': 2765, 'skip_exists': 235, 'failed': 0} rate=23.5/s eta=544.5min
  [4000/770552] {'fetched': 3705, 'skip_exists': 295, 'failed': 0} rate=24.0/s eta=532.6min
  [5000/770552] {'fetched': 4608, 'skip_exists': 392, 'failed': 0} rate=23.9/s eta=533.3min
  [6000/770552] {'fetched': 5512, 'skip_exists': 488, 'failed': 0} rate=24.3/s eta=523.9min
  [7000/770552] {'fetched': 6355, 'skip_exists': 645, 'failed': 0} rate=24.7/s eta=516.1min
  [8000/770552] {'fetched': 7184, 'skip_exists': 816, 'failed': 0} rate=25.2/s eta=505.2min
  [9000/770552] {'fetched': 8086, 'skip_exists': 914, 'failed': 0} rate=25.7/s eta=494.5min
  [10000/770552] {'fetched': 8960, 'skip_exists': 1040, 'failed': 0} rate=26.2/s eta=483.7min
  [11000/770552] {'fetched': 9810, 'skip_exists': 1190, 'failed': 0} rate=26.8/s eta=472.9min
  [12000/770552] {'fetched': 10725, 'skip_exists': 1275, 'failed': 0} rate=27.0/s eta=467.9min
  [13000/770552] {'fetched': 11626, 'skip_exists': 1374, 'failed': 0} rate=27.3/s eta=462.6min
  [14000/770552] {'fetched': 12532, 'skip_exists': 1468, 'failed': 0} rate=27.5/s eta=458.6min
  [15000/770552] {'fetched': 13459, 'skip_exists': 1541, 'failed': 0} rate=27.6/s eta=456.3min
  [16000/770552] {'fetched': 14399, 'skip_exists': 1601, 'failed': 0} rate=28.1/s eta=448.2min
  FAILED ISS007-E-6866: cannot identify image file <_io.BytesIO object at 0x78bfee880720>
  [17000/770552] {'fetched': 15338, 'skip_exists': 1661, 'failed': 1} rate=28.6/s eta=439.4min
  [18000/770552] {'fetched': 16248, 'skip_exists': 1751, 'failed': 1} rate=28.8/s eta=435.7min
  [19000/770552] {'fetched': 17184, 'skip_exists': 1815, 'failed': 1} rate=28.8/s eta=435.1min
  [20000/770552] {'fetched': 18110, 'skip_exists': 1889, 'failed': 1} rate=28.8/s eta=433.7min
  [21000/770552] {'fetched': 19036, 'skip_exists': 1963, 'failed': 1} rate=28.9/s eta=431.6min
  [22000/770552] {'fetched': 19936, 'skip_exists': 2063, 'failed': 1} rate=29.1/s eta=428.6min
  [23000/770552] {'fetched': 20844, 'skip_exists': 2155, 'failed': 1} rate=29.3/s eta=425.9min
  [24000/770552] {'fetched': 21800, 'skip_exists': 2199, 'failed': 1} rate=29.3/s eta=424.8min
  [25000/770552] {'fetched': 22723, 'skip_exists': 2276, 'failed': 1} rate=29.4/s eta=423.3min
  [26000/770552] {'fetched': 23652, 'skip_exists': 2347, 'failed': 1} rate=29.4/s eta=421.7min
  [27000/770552] {'fetched': 24583, 'skip_exists': 2416, 'failed': 1} rate=29.5/s eta=420.7min
  [28000/770552] {'fetched': 25482, 'skip_exists': 2517, 'failed': 1} rate=29.6/s eta=418.3min
  [29000/770552] {'fetched': 26351, 'skip_exists': 2648, 'failed': 1} rate=29.7/s eta=416.4min
  [30000/770552] {'fetched': 27282, 'skip_exists': 2717, 'failed': 1} rate=29.8/s eta=414.6min
  [31000/770552] {'fetched': 28239, 'skip_exists': 2760, 'failed': 1} rate=29.8/s eta=414.2min
  [32000/770552] {'fetched': 29217, 'skip_exists': 2782, 'failed': 1} rate=29.7/s eta=414.8min
  [33000/770552] {'fetched': 30130, 'skip_exists': 2869, 'failed': 1} rate=30.1/s eta=408.6min
  [34000/770552] {'fetched': 31005, 'skip_exists': 2994, 'failed': 1} rate=30.7/s eta=399.6min
  [35000/770552] {'fetched': 31907, 'skip_exists': 3092, 'failed': 1} rate=31.3/s eta=391.1min
  [36000/770552] {'fetched': 32793, 'skip_exists': 3206, 'failed': 1} rate=32.0/s eta=383.1min
  [37000/770552] {'fetched': 33732, 'skip_exists': 3267, 'failed': 1} rate=32.5/s eta=376.7min
  [38000/770552] {'fetched': 34674, 'skip_exists': 3325, 'failed': 1} rate=33.0/s eta=370.0min
  [39000/770552] {'fetched': 35630, 'skip_exists': 3369, 'failed': 1} rate=33.5/s eta=364.2min
  [40000/770552] {'fetched': 36556, 'skip_exists': 3443, 'failed': 1} rate=33.1/s eta=367.7min
  [41000/770552] {'fetched': 37467, 'skip_exists': 3532, 'failed': 1} rate=32.7/s eta=371.3min
  [42000/770552] {'fetched': 38432, 'skip_exists': 3567, 'failed': 1} rate=32.6/s eta=372.1min
  [43000/770552] {'fetched': 39311, 'skip_exists': 3688, 'failed': 1} rate=32.6/s eta=372.2min
  [44000/770552] {'fetched': 40245, 'skip_exists': 3754, 'failed': 1} rate=32.4/s eta=373.2min
  [45000/770552] {'fetched': 41151, 'skip_exists': 3848, 'failed': 1} rate=32.3/s eta=373.8min
  [46000/770552] {'fetched': 42106, 'skip_exists': 3893, 'failed': 1} rate=32.2/s eta=375.4min
  [47000/770552] {'fetched': 43037, 'skip_exists': 3962, 'failed': 1} rate=32.0/s eta=376.5min
  [48000/770552] {'fetched': 43985, 'skip_exists': 4014, 'failed': 1} rate=32.0/s eta=376.9min
  [49000/770552] {'fetched': 44918, 'skip_exists': 4081, 'failed': 1} rate=31.9/s eta=377.5min
  [50000/770552] {'fetched': 45851, 'skip_exists': 4148, 'failed': 1} rate=31.7/s eta=378.5min
  [51000/770552] {'fetched': 46780, 'skip_exists': 4219, 'failed': 1} rate=31.7/s eta=378.6min
  [52000/770552] {'fetched': 47594, 'skip_exists': 4405, 'failed': 1} rate=31.7/s eta=377.8min
  [53000/770552] {'fetched': 48521, 'skip_exists': 4478, 'failed': 1} rate=31.6/s eta=379.0min
  [54000/770552] {'fetched': 49362, 'skip_exists': 4637, 'failed': 1} rate=31.5/s eta=378.7min
